자료출처,자료대분류,자료중분류,자료소분류,자료형식,지역정보,검토 업체명,검토 업종명,파일명,파일명_id,보안 대상여부,첨부파일경로,작성일자,작성부서
1)내부,,3)업체정보,31,Excel,국내,,유아,BabyPlus_Startups_LongList_20171107,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171107,OI
1)내부,,3)업체정보,35,PDF,국내,"맘스다이어리, 엄마와, 세이베베, 크라잉베베, 베이비타임, 맘톡, 엄선, 차이의놀이, 맘비, 이유식노트, 베이비홈닥터",유아,BabyPlus_RelatedStartups_20171120,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171120,OI
1)내부,,3)업체정보,32,Excel,국내,,,DP 강남 입주사 현황,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180201,OI
1)내부,,3)업체정보,32,PPT,국내,,,3기입주사_소개자료(63DP),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180124,OI
1)내부,,3)업체정보,32,Word,국내,,,"DP 63 1,2기 스타트업 내용",,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170822,OI
1)내부,,3)업체정보,31,Word,해외,"InstaRem, RateX, Airwallex, Wirex, B2BPay, Payoneer, Worldfirst",Cross-border,180208_B2B외환송금업체 List,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180208,핀테크
1)내부,,2)컨택정보,21,Word,국내/싱가폴,"Moin, Instarem",Cross-border,"180212_Moin, Instarem 미팅노트",,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180212,핀테크
1)내부,,2)컨택정보,21,Word,국내,Sentbe,Cross-border,180221_Sentbe 미팅노트,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180221,핀테크
1)내부,,3)업체정보,31,Excel,국내외,,Cross-border,Cross border 업체 조사(2018.2월),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180201,핀테크
1)내부,,3)업체정보,22,Excel,국내외,"EMQ, 케이뱅크, 센트비, 모인, Wirex",Cross-border,Cross-border 관련 Contact list,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180226,핀테크
1)내부,,5)기타,51,PDF,국내,PAYCO,Lending,PAYCO 업무협력양해각서 20171108,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171108,핀테크
1)내부,,5)기타,52,Word,국내,PAYCO,Lending,SHINKIM-＃1127883-v4-PAYCO_포인트를_이용한_대출사업_영위_관련_질의에_대한_검토,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180223,핀테크
1)내부,,1)검토보고,12,Word,국내,PAYCO,Lending,페이코 사업 진행경과 보고,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170608,핀테크
1)내부,,1)검토보고,11,PPT,국내,PAYCO,Lending,한화크레딧_프로세스_20180213_v2 (1)_PAYCO수정안,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180203,핀테크
1)내부,,1)검토보고,12,Word,국내,티몬,Lending,SCF 사업 진행경과 보고 v1 20170608,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170608,핀테크
1)내부,,1)검토보고,11,Word,국내,티몬,Lending,SCF 사업추진 검토 보고 20180201,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180201,핀테크
1)내부,,1)검토보고,11,Word,국내,티몬,Lending,SCF 제휴사업 피버팅(안) 20180307,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180307,핀테크
1)내부,,5)기타,51,PDF,국내,티몬,Lending,티몬 업무협력양해각서 20171108,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171108,핀테크
1)내부,,1)검토보고,12,PPt,국내,케이뱅크,Lending,2018년 1분기케이뱅크은행_위험관리위원회_보고의_건  20180212,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180212,핀테크
1)내부,,1)검토보고,12,Word,국내,케이뱅크,Lending,케이뱅크은행 유상증자 결과 보고 20171016 v6,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171016,핀테크
1)내부,,2)컨택정보,22,Excel,국내,"페이코, 티몬, 케이뱅크",Lending,핀테크팀 이종사업자 제휴 Contact List,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180307,핀테크
1)내부,,2)컨택정보,21,Excel,해외,,블록체인,Blockshow_singapore 2017_Meeting List_171131,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171113,핀테크
1)내부,,2)컨택정보,21,Word,해외,,블록체인,뉴욕 출장_Blockchain_170913,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170913,핀테크
1)내부,,2)컨택정보,21,Excel,해외,,블록체인,블록체인 출장 내용 정리_20171113,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171113,핀테크
1)내부,,3)업체정보,31,Excel,해외,,블록체인,에너지 분야 블록체인 벤처 기업 현황 조사_잠재대상검토_180130,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180130,핀테크
1)내부,,3)업체정보,35,Word,일본,M3,의료포탈,17008_R_M3관련_(드림플러스)_20170220,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170220,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,FIBC,금융관련 서비스 제공 스타트업,17012_R_FIBC 이벤트 관련_(드림플러스63)_20170309,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170309,동경주재사무소
1)내부,,3)업체정보,35,PPT,일본,MUFG,블록체인,17024_R_MUFG 핀테크 추진과제_(핀테크TF)20170425,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170425,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,RIZAP,건강 관련 사업,17043_일본_RIZAP 회사 조사_(드림플러스 20170925),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170925,동경주재사무소
1)내부,,2)컨택정보,21,Word,일본,RIZAP,건강 관련 사업,17043-1_RIZAP 미팅 내용_20170929,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170929,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,메루카리,중고판매시장,17042_메루카리 현황 조사_20171122(해외파트),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171122,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,"East Ventures, CyberAgent Ventures, Spiral Ventures(구IMJ investment partners), GREE Ventures",일본계 VC,17054_동남아 투자 일본계 주요VC_(해외파트) _20171128,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171128,동경주재사무소
1)내부,,3)업체정보,35,Word,일본,소프트뱅크,해외사업투자,17055_소프트뱅크 투자 관련_(해외파트) _20171130,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171130,동경주재사무소
1)내부,,3)업체정보,37,Excel,국내,,,외주업체 List,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180309,DPM팀
1)내부,,3)업체정보,38,Excel,국내,,,라플앱 관련_활용가능 피투자사 리스트,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180313,브랜드전략팀
1)내부,,1)검토보고,12,Excel,,,,H-LAB 업무 추진 현황_2월2주차,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180222,전략투자추진팀
1)내부,,1)검토보고,13,Excel,,,,투자검토 현황_2월2주차_전략투자추진팀,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180223,전략투자추진팀
1)내부,,3)업체정보,33,PDF,,,,SIFI 펀드리스트,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171222,전략투자추진팀
1)내부,,1)검토보고,14,Excel,국내/해외,,,Wish List(예시),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180214,금융팀
1)내부,,2)컨택정보,22,Excel,동남아,SOUTHEAST ASIA GP,,Funds of Fund CRM,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20161223,CVC
1)내부,,3)업체정보,31,Excel,국내/해외,"AirWallex, EMQ, EMQ, Fintonia, Wirex, QF Pay",Cross-border Fintech 업체,★Cross-border 업체 진행현황 (20171012)-편집본,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171012,사업개발팀
1)내부,,3)업체정보,31,Word,국내/해외,"InstaRem, Toast, Toast, RateX, Fastacash, Rebit.ph, Sendah Remit, ANX International, Wirex, Airwallex, EMQ",외환송금 핀테크 업체 ,Cross-border Fintech list(version 2),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180112,사업개발팀
2)외부,,3)업체정보,36,PDF,홍콩,Currenxie,,Currenxie PPT_Korea,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171017,사업개발팀
1)내부,,5)기타,51,PDF,싱가포르,Fintonia,,Fintonia one way NDA (Hanwha signed),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170816,사업개발팀
2)외부,,3)업체정보,36,PDF,말레이시아,iMoney,,iMoney_July17,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170700,사업개발팀
2)외부,,3)업체정보,36,PPT,미국,Kabbage,,Kabbage Platform Presentation 12.12.16,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170327,사업개발팀
2)외부,,3)업체정보,36,PDF,미국,Western Asset,,WB Double Alpha  Pdf,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170808,사업개발팀
2)외부,,3)업체정보,36,PDF,영국,Wirex,블록체인,Wirex_Overview,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170630,사업개발팀
1)내부,,3)업체정보,31,Word,해외,"InstaRem, Toast, Toast, RateX, Fastacash, Rebit.ph, Sendah Remit, ANX International, Wirex, Airwallex",외환송금 핀테크 업체,동남아 외환송금업체 List.20180112,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180112,사업개발팀
1)내부,,2)컨택정보,21,Excel,아시아,"Credit China Fintech Holdings, Ant Financial, Ant Financial, Jungle Ventures, WeLab, Currenxie, Vectr, Fintech Club, Galileo Platforms, Seasonalife, Addweup, EdirectInsure, Inzurer",핀테크,출장 계획 및 미팅결과.v2,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20180202,사업개발팀
1)내부,,2)컨택정보,21,Word,아시아,"Credit China Fintech Holdings, Ant Financial, Ant Financial, Jungle Ventures, Currenxie, Vectr, Fintech Club, Galileo Platforms",핀테크,홍콩 출장 사후보고.v3.20170720,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170720,사업개발팀
2)외부,,3)업체정보,36,PDF,국내,길벗,카드,회사소개서_(주)길벗,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170825,사업개발팀
2)외부,,3)업체정보,36,PDF,호주,Airwallex,Cross-border Fintech,Airwallex Overview Deck,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170425,사업개발팀
1)내부,,5)기타,51,Word,호주,Airwallex,Cross-border Fintech,Airwallex_Ltd._NDA_20170427,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170427,사업개발팀
2)외부,,3)업체정보,36,PDF,홍콩,anx,블록체인,anx_brochure-eversion-en-1,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170425,사업개발팀
1)내부,,5)기타,51,PDF,호주,Airwallex,Cross-border Fintech,AWXHKNDA,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170424,사업개발팀
1)내부,,5)기타,51,PDF,호주,Airwallex,Cross-border Fintech,AWXHKNDA-HanwhaLife-AWXSIGNED,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170508,사업개발팀
1)내부,,5)기타,51,PDF,호주,Airwallex,Cross-border Fintech,AWXHKNDA-HanwhaLife-HLISIGNED,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170411,사업개발팀
1)내부,,5)기타,51,PDF,호주,Airwallex,Cross-border Fintech,AWXHKNDA-HanwhaLife-HLISIGNED.pdf,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170411,사업개발팀
1)내부,,5)기타,51,Word,호주,Airwallex,Cross-border Fintech,AWXHKNDA-TemplateForm (HLI Revised),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170428,사업개발팀
1)내부,,5)기타,51,Word,호주,Airwallex,Cross-border Fintech,핀테크TF팀_Airwallex_Ltd._NDA_20170425_YK검토본,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170425,사업개발팀
1)내부,,5)기타,51,Word,,Mutual,Lending,"08.10.2017_Hanwha Life Insurance Co., Ltd_Mutual NDA_1",,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170810,사업개발팀
1)내부,,5)기타,51,Word,,Mutual,Lending,20160816_Mutual_NDA_(excludes_PII)_Hanwha_(LC_8_12_2016),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20160816,사업개발팀
1)내부,,5)기타,51,PDF,,Mutual,Lending,Hanwha Executed NDA,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170825,사업개발팀
1)내부,,5)기타,51,Word,미국,StormHarbour,Fintech,NDA_Hanwah LIfe_Project Raptor_23 Jun 2017(보성),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170623,사업개발팀
1)내부,,5)기타,51,Word,미국,StormHarbour,Fintech,NDA_Hanwah LIfe_Project Raptor_23 Jun 2017,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170623,사업개발팀
2)외부,,3)업체정보,36,PDF,미국,StormHarbour,Fintech,Project Raptor Teaser 20170608,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170608,사업개발팀
1)내부,,5)기타,51,Word,중국,QFPay,Payment,171012_NDA (QF PAY),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171012,사업개발팀
1)내부,,2)컨택정보,21,Word,중국,QFPay,Payment,QF Pay 미팅 회의록.20170918,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170918,사업개발팀
2)외부,,5)기타,52,PDF,중국,QFPay,Payment,QFP Business Registration(사업자등록증),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171103,사업개발팀
2)외부,,3)업체정보,36,PDF,중국,QFPay,Payment,QFP INTERNATIONAL (HANWHA LIFE),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171013,사업개발팀
2)외부,,3)업체정보,36,PDF,중국,QFPay,Payment,QFPay Investor Deck (ENG)_Final,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171218,사업개발팀
2)외부,,3)업체정보,36,PDF,중국,QFPay,Payment,Scanned Documents,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171013,사업개발팀
2)외부,,5)기타,51,PDF,중국,QFPay,Payment,Signed NDA (QF Pay-Hanwha Life),,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20171103,사업개발팀
2)외부,,3)업체정보,36,PDF,중국,Tandem,banking,Project Iona - Teaser FINAL,,,https://www.dropbox.com/sh/o7bqpkwhm5mrlv8/AADgay4sltoMa90zGGD9LdJ2a?dl=0,20170904,사업개발팀
